Instance,Contractor(s),Date Type,Date,Misconduct Type,Disposition Type,Court Type,Enforcement Agency,Contracting Party,Total Penalties
April 2010 Gulf of Mexico Oil Spill - Federal Contracting Suspension,BP P.L.C.,Date of Suspension,11/28/2012,Environment,Suspend/Debar - Company,Administrative,EPA,None,0
NASA Contract False Claims,United Technologies Corporation,Date of Settlement Announcement,6/10/2010,Government Contract Fraud,Settlement,Civil,Multiple Agencies,NASA,2988819
Baggett v. HP (LaserJet Printer Lawsuit),Hewlett-Packard Company,Date of Complaint,6/6/2007,Consumer Affairs,Settlement,Civil,Non-Governmental,None,5000000
Illegally Exporting Secret Military Data Overseas (Criminal Prosecution),ITT Industries,Date of Guilty Plea,3/27/2007,Import/Export,Pleaded Guilty,Criminal,Multiple Agencies,International,100000000
Bellifemine v. Sanofi-Aventis (Gender Discrimination),Sanofi-Aventis,Date of Complaint,3/14/2007,Labor,Settlement,Civil,Non-Governmental,None,15360000
Beck v. Boeing (Gender Discrimination Class Action),Boeing Company,Date of Settlement,7/16/2004,Labor,Settlement,Civil,Non-Governmental,None,40600000
Lancashire Factory Explosion,BAE Systems,Date of Announcement,1/14/2010,Labor,Pleaded Guilty,Criminal,International,None,322000
Carnival Cruise Ship OSHA Violation,BAE Systems,Date of Citation,9/27/2013,Labor,Fine,Administrative,Labor - OSHA,None,7000
Hunters Point Naval Shipyard Cleanup - Criminal Prosecutions,"Tetra Tech, Inc.",Date of Sentencing Announcement,5/3/2018,Government Contract Fraud,Pleaded Guilty,Criminal,Justice,Defense - Navy,12000
Violations of State Pollution Discharge Elimination System Permit,General Electric,Date of Fine,2/3/1998,Environment,Fine,Administrative,State/Local,None,234000
Safety Violations on North Dakota Oil Rig,Halliburton,Date of Citation Announcement,7/15/2013,Labor,Fine,Administrative,Labor - OSHA,None,14000
Clean Air Act Violations at Puerto Rico Plant,"Pfizer, Inc.",Date of Fine Announcement,10/25/2016,Environment,Fine,N/A,EPA,None,190000
Mischarging of Labor Hours at LLNL,University of California,Date of Media Account,2/7/2004,Government Contract Fraud,Settlement,Civil,Energy,Energy,3897366
"Sept. 16, 2007 Baghdad Shooting Investigation (DOJ Prosecution)",Blackwater USA,Date of Original Indictments,12/8/2008,Human Rights,Found Guilty,Criminal,Justice,State Dept.,0
Tommey v. Computer Sciences Corp. (Overtime Wages Class Action),Computer Sciences Corporation,Date of Original Complaint,4/14/2011,Labor,Pending,Civil,Non-Governmental,None,0
Negligent Diabetes Care at Trousdale Turner Correctional Facility,Corrections Corporation of America,Date of Complaint,3/5/2018,Human Rights,Pending,Civil,Non-Governmental,State/Local,0
Afinsa - SEC Investigation,"Spectrum Group International, Inc.",Date of Settlement,3/23/2009,Securities,Judgment Against Defendant,Civil,SEC,None,0
Retirement Plan Breach of Fiduciary Duty,Johns Hopkins University,Date of Complaint,8/11/2016,Labor,Pending,Civil,Non-Governmental,None,0
National Association of the Deaf v. MIT (Discrimination),Massachusetts Inst. of Technology,Date of Complaint,2/12/2015,Human Rights,Pending,Civil,Non-Governmental,None,0
EEOC v. AT&T (Disability Discrimination),AT&T Inc.,Date of Complaint,9/23/2009,Labor,Settlement,Civil,EEOC,None,60000
Las Vegas Wal-Mart Parking Lot Assault,G4S PLC,Date of Verdict,2/15/2011,Poor Contract Performance,Judgment Against Defendant,Civil,Non-Governmental,Non-Governmental,1026000
U.S. v. Rama (Foreign Corrupt Practices Act Violation),"IAP Worldwide Services, Inc.",Date of Plea Agreement,6/16/2015,Government Contract Fraud,Pleaded Guilty,Criminal,Justice,International,100
U.S. v. Zwerko (Insider Trading),"Merck & Co., Inc.",Date of Arrest,10/10/2014,Securities,Pending,Criminal,Justice,None,0
Retaliatory Lawsuit,Patriot Team,Date of Order Announcement,4/7/2009,Labor,Fine,Administrative,Labor - OSHA,None,7933789
AECA and ITAR Violations,Raytheon Company,Date of Consent Agreement,4/30/2013,Import/Export,Administrative Agreement,Administrative,State Dept.,None,8000000
EEOC v. FedEx Ground Package System (Discrimination Against the Hearing Impaired),FedEx Corporation,Date of Complaint,9/30/2014,Labor,Pending,Civil,EEOC,None,0
Imamura et al. v. General Electric (Fukushima Daiichi Nuclear Power Plant Disaster),General Electric,Date of Complaint,11/17/2017,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Doe v. CCA (Invasive and Humiliating Search at South Central Correctional Facility),Corrections Corporation of America,Date of Complaint,1/22/2015,Human Rights,Pending,Civil,Non-Governmental,State/Local,0
"NRC Inspection of Metropolis, IL Facility (2004)",Honeywell International Inc.,Date of NOV,5/10/2004,Health,Investigative Finding,Administrative,NRC,None,0
Bon Secour Fisheries et al. v. Halliburton (April 2010 Gulf of Mexico Oil Spill),Halliburton,Date of Complaint,9/24/2015,Environment,Pending,Civil,Non-Governmental,None,0
"U.S. ex rel. Walker v. PAE, et al. (Alleged Bid-Rigging)",PAE Holding Corporation,Date of Settlement Announcement,9/11/2015,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Defense - Army,1150000
"U.S. ex rel. Conyers v. KBR et al. (LOGCAP III False Claims, Kickbacks)",KBR,Date of Complaint,1/8/2014,Government Contract Fraud,Pending,Civil,Non-Governmental,Defense - Army,0
Duval v. FedEx Ground Package System (Misclassifying Employees),FedEx Corporation,Date of Filing,8/17/2010,Labor,Pending,Civil,Non-Governmental,None,0
Price-Anderson Violations (Neutron Radiography Reactor),"Battelle Energy Alliance, LLC",Date of PNOV,12/3/2007,Labor,Fine,Administrative,Energy,Energy,123750
Securities Violations (Dollar General),IBM Corporation,Date of Company Announcement,6/25/2007,Securities,Settlement,Administrative,SEC,None,7000000
International Assoc. of Machinists v. Raytheon (Breach of Collective Bargaining Agreements),Raytheon Company,Date of Second Appellate Decision,5/21/2012,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,Undisclosed/Unknown
Pharmaceutical Industry Average Wholesale Price Litigation,Novartis AG,Date of Settlement,9/14/2011,Antitrust,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Britt v. Northrop Grumman (Asbestos Exposure),Northrop Grumman,Date of Verdict,9/27/2016,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,9019266
"United States v. Mazon, et. al. (Fraud)",KBR,Date of Indictment,3/17/2005,Government Contract Fraud,Pleaded Guilty,Criminal,Defense - Army,Defense - Army,0
"Mohr v. UnitedHealth Group (Overcharging for Prescription Drugs, Unjust Enrichment)",UnitedHealth Group,Date of Complaint,10/4/2016,Consumer Affairs,Pending,Civil,Non-Governmental,None,0
Paraffin Wax Price Fixing,Royal Dutch Shell PLC,Date of Announcement,10/1/2008,Antitrust,Investigative Finding,Administrative,International,None,0
Nationwide MTBE Groundwater Contamination Litigation,"BP P.L.C., ChevronTexaco Corporation, Exxon Mobil, Royal Dutch Shell PLC, Valero Energy Corp.",Date of Settlement,3/12/2008,Environment,Settlement,Civil,State/Local,None,Undisclosed/Unknown
Taylor v. KBR (Sexual Assault and Retaliation),KBR,Date of Filing,6/10/2010,Labor,Pending,Civil,Non-Governmental,Defense - Army,0
Deepwater Horizon Coast Guard/BOEMRE Investigation,BP P.L.C.,Date of Final Report,9/14/2011,Environment,Investigative Finding,N/A,Multiple Agencies,None,0
Failure to Report Ambien Patent Agreements,Sanofi-Aventis,Date of FTC Advisory Letter,5/9/2011,Antitrust,Investigative Finding,N/A,FTC,None,0
Misclassifying Employees (Montana Settlement),FedEx Corporation,Date of Settlement,10/20/2010,Labor,Settlement,Civil,State/Local,None,2300000
U.S. v. Glenn (Accessing And Removing Classified Information From Military Computers),Harris Corporation,Date of Plea,1/23/2015,Other,Pleaded Guilty,Criminal,Justice,Defense - General,0
Argos v. Maersk (Breach of Contract),AP Moller-Maersk A/S,Date of Settlement Announcement,11/24/2010,Poor Contract Performance,Settlement,Civil,Non-Governmental,Non-Governmental,Undisclosed/Unknown
Smyth v. Regents of the University of California (Labor Discrimination at Los Alamos Lab),University of California,Date of Settlement,1/22/1998,Labor,Settlement,Civil,Labor,Energy,2200
Mobile Cramming Settlement,AT&T Inc.,Date of Settlement Announcement,10/8/2014,Consumer Affairs,Settlement,Civil,Multiple Agencies,None,105000000
"Ripton v. Camp Dresser & McKee, et al. (Age Discrimination)",CBY Design Builders,Date of Settlement,9/26/2007,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
Lipitor False Claims,"Pfizer, Inc.",Date of Announcement,10/28/2002,Government Contract Fraud,Settlement,Civil,Health and Human Services,Multiple Agencies,49000000
Illegally Exporting Secret Military Data Overseas (State Dept. Administrative Proceeding),ITT Industries,Date of Order,11/1/2004,Import/Export,Administrative Agreement,Administrative,State Dept.,International,8000000
Nationwide Wage and Hour Class Action Lawsuit,Novartis AG,Date of Settlement Announcement,1/25/2012,Labor,Settlement,Civil,Non-Governmental,None,99170000
Vander Boegh v. Bechtel Jacobs Company (False Claims at Paducah Gaseous Diffusion Plant),Bechtel Corporation,Date of Settlement,8/23/2012,Government Contract Fraud,Settlement,Civil,Energy,Energy,230000
Mody v. General Electric (Age and Racial Discrimination),General Electric,Date of Final Judgment,11/15/2006,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,8168562
LaBrie v. UPS Supply Chain Solutions (Misclassifying Workers),"United Parcel Service, Inc.",Date of Settlement,12/7/2009,Labor,Settlement,Civil,Non-Governmental,None,12800000
Troian v. Caltech (Whistleblower Retaliation),California Institute of Technology,Date of Complaint,11/13/2014,Labor,Pending,Civil,Non-Governmental,Defense - General,0
Gammel v. Hewlett-Packard (Shareholder Lawsuit),Hewlett-Packard Company,Date of Original Complaint,9/13/2011,Securities,Settlement,Civil,Non-Governmental,None,57000000
Late Delivery of Software,Computer Sciences Corporation,Date of Minutes,11/28/2007,Poor Contract Performance,Fine,Administrative,International,International,10000000
Illegal Export of Military Software to China,United Technologies Corporation,Date of Plea/Settlement Announcement,6/28/2012,Import/Export,Pleaded Guilty,Criminal,Multiple Agencies,None,75700800
Chlorine Exposure at Los Alamos National Laboratory,Los Alamos National Security LLC,Date of PNOV,5/27/2015,Labor,Investigative Finding,Administrative,Energy,Energy,0
Securities Class Action,"Force Protection, Inc.",Date of Settlement Announcement,1/25/2011,Securities,Settlement,Civil,Non-Governmental,None,30486377
"McKesson/HBOC, Inc. Securities Litigation",McKesson,Date of Settlement,1/12/2005,Securities,Settlement,Civil,Non-Governmental,None,960000000
"U.S. ex rel. Poehling v. UnitedHealth Group, et al. (Medicare Advantage False Claims)","Health Net, Inc., Humana, UnitedHealth Group",Date of Complaint,10/27/2011,Government Contract Fraud,Pending,Civil,Non-Governmental,Health and Human Services,0
Breach of EU Merger Procedural Rules,"Merck & Co., Inc.",Date of Preliminary Conclusion,7/6/2017,Antitrust,Investigative Finding,N/A,International,None,0
Inoperable Firewater System,ChevronTexaco Corporation,Date of Penalty,6/28/2001,Environment,Fine,Administrative,Interior,None,810000
"Trichloroethylene Pollution in Broome County, NY",IBM Corporation,Date of Complaint,1/3/2008,Environment,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
EEOC v. BAE Systems (Disability Discrimination),BAE Systems,Date of Complaint,9/27/2011,Labor,Settlement,Civil,EEOC,None,55000
"SEC v. Zeringue, et al. (Insider Trading)",Shaw Group,Date of SEC Complaint,2/19/2015,Securities,Settlement,Civil,SEC,None,96018
U.S. v. Brehm (Assault at Kandahar Airfield),DynCorp International Inc.,Date of Plea,4/12/2011,Other,Pleaded Guilty,Criminal,Justice,Defense - Army,0
The Exxon Valdez Case Reopener,Exxon Mobil,Date of Plan Submission,6/1/2006,Environment,Settlement,Civil,Multiple Agencies,None,92000000
Illegal Promotion of Viagra in China,"Pfizer, Inc.",Date of Fine Announcement,8/28/2015,Ethics,Fine,Administrative,International,None,483600
Wallace v. FedEx (Family and Medical Leave Act Violation),FedEx Corporation,Date of Verdict,3/31/2010,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,173000
Nationwide Class-Action Lawsuit (Misclassifying Employees),FedEx Corporation,Date of Press Release,2/27/2007,Labor,Pending,Civil,Non-Governmental,None,0
Medicines Australia Code of Conduct Violations,GlaxoSmithKline,Date of Media Account,7/26/2008,Ethics,Fine,N/A,International,None,310000
"Malek v. Blackmer Pump Co., et al. (Asbestos Exposure in Iran)","BP P.L.C., Fluor Corporation, Royal Dutch Shell PLC",Date of Settlement Announcement,2/19/2016,Health,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
"U.S. ex rel. Howard, et al. v. Lockheed Martin (Military Aircraft False Claims)",Lockheed Martin,Date of Original Complaint,4/22/1999,Government Contract Fraud,Settlement,Civil,Non-Governmental,Defense - Air Force,Undisclosed/Unknown
Vioxx Securities Class Action Lawsuit,"Merck & Co., Inc.",Date of Settlement Announcement,1/15/2016,Securities,Settlement,Civil,Non-Governmental,None,1062000000
Marshall v. Boeing (Racial Discrimination and Harassment),Boeing Company,Date of Jury Verdict,7/5/2018,Labor,Judgment Against Defendant,Civil,Non-Governmental,None,350000
Venegas Morga v. FedEx (Wrongful Death),FedEx Corporation,Date of Verdict,1/23/2015,Consumer Affairs,Judgment Against Defendant,Civil,Non-Governmental,None,Undisclosed/Unknown
McMorrough and Hanson v. Northrop Grumman (Failure to Properly Manufacture Replacement Parts),Northrop Grumman,Date of Settlement,3/13/2000,Government Contract Fraud,Settlement,Civil,Defense - Air Force,Defense - Air Force,750000
Breach of Agreement to Provide FiOS Service to New York City Residents,"Verizon Communications, Inc.",Date of Complaint,3/13/2017,Poor Contract Performance,Pending,Civil,State/Local,State/Local,0
Blocking Consumers' Access to Certain Mobile Broadband Applications,"Verizon Communications, Inc.",Date of Settlement Announcement,7/31/2012,Consumer Affairs,Settlement,Administrative,FCC,None,1250000
Cost and Labor Mischarge,United Technologies Corporation,Date of Settlement,11/18/1997,Cost/Labor Mischarge,Settlement,Undisclosed/unknown,Defense - General,Defense - General,150000
Unlawful Conditions at Walnut Grove Youth Correctional Facility,GEO Group,Date of Complaint,11/16/2010,Human Rights,Settlement,Civil,Non-Governmental,State/Local,Undisclosed/Unknown
Rosenburg v. IBM (Overtime Pay),IBM Corporation,Date of Settlement Announcement,11/22/2006,Labor,Settlement,Civil,Non-Governmental,None,65000000
Grace v. DRS Sensors & Targeting Systems (Racial Discrimination),"DRS Technologies, Inc.",Date of Filing,8/23/2007,Labor,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
U.S. ex rel. Fulk v. UPS (Package Delivery Contract False Claims),"United Parcel Service, Inc.",Date of First Settlement Announcement,5/19/2015,Government Contract Fraud,Settlement,Civil,Multiple Agencies,Multiple Agencies,29940000
Misclassification of Workers at Petaluma Coast Guard Facility,Lockheed Martin,Date of Settlement Announcement,1/20/2015,Labor,Settlement,N/A,Labor,Homeland Security,201000
State Department Inspector General Review of Camp Falcon Support Contract,DynCorp International Inc.,Date of Report - approx.,8/1/2011,Poor Contract Performance,Investigative Finding,N/A,State Dept.,State Dept.,157000
F-14 and F-15 Aircraft Contract False Claims Act Violations,Raytheon Company,Date of Settlement - approximate,3/1/2000,Government Contract Fraud,Settlement,Civil,Defense - General,Defense - Air Force,2113000
OSHA Violations (American Samoa),Environmental Chemical Corporation,Date of Inspection File,11/16/1998,Labor,Fine,Administrative,Labor - OSHA,None,2925
Marcus Hook Refinery Safety Violations,AECOM Technology Corporation,Date of OSHA Citation,9/24/2015,Labor,Fine,Administrative,Labor - OSHA,None,14000
EEOC v. Johnson Controls (Sexual Harassment),"IAP Worldwide Services, Inc.",Date of Consent Decree,10/19/2005,Labor,Settlement,Administrative,EEOC,None,125000
Asbestos Litigation,United Industrial Corporation,Date of 10-K,3/16/2007,Health,Settlement,Civil,Non-Governmental,None,Undisclosed/Unknown
